from_user,text,created_at
Cleobatta,واضح ان مدير حملة #ابو_اسماعيل بتوه اتباعه فى متاهة الثغرة القانونية لقانون الجنسية ...وفى الأخر حيقول ايه يعني هي امريكية هناك ومصرية هنا,16/04/2012 22:25
mos_fouda,#ابو_اسماعيل انا مصدوم مش معقول يا جماعة الجماعة اللي مسميين نفسهم أنصار بوسماعين الكداب ده !! الناس مخها مسح ! اتفرجوا علي الجزيرة مباشر,16/04/2012 22:24
OlaOsman,ابو اسماعيل يزعم أن الاوراق مزورة وده شيء كان متوقع و هايتحبس وغالبا هو عارف انه هايتحبس وبيفلفص وبيضحي بمريديه #ابو_اسماعيل,16/04/2012 22:22
Kkholy,فينك ياطنط نوال تخلصينا دلوقت !! #ابو_اسماعيل,16/04/2012 22:22
3anoos,RT @Wild_atHeart: أنا هانزل الاعتصام بكرة أسمع منهم بيفكروا ازاي بدل الأحكام المسبقة اللي عمالين تقولوها على تويتر #حازمون #ابو_اسماعيل,16/04/2012 22:20
Ahmed_Kayal,النهاردة كان فيه مشهد سريالي... اون ذا ران صلاح سالم كان كله دقون! دلوقتي بس عرفت احساس سمير و شهير وبهير! #حازمون #ابو_اسماعيل #مصر #Egypt,16/04/2012 22:19
sara_ab5,اعتقد ان #ابو_اسماعيل كده اتفضح فضيحة المتطاهر يوم طلوعه على المعاش…في السن ده وكداب؟ وكمان عامل شيخ؟ هههههههههه #egypt #tahrir #jan25,16/04/2012 22:17
JoelleAhmed,أنا هانزل الاعتصام بكرة أسمع منهم بيفكروا ازاي بدل الأحكام المسبقة اللي عمالين تقولوها على تويتر #حازمون #ابو_اسماعيل,16/04/2012 22:17
_TaMaTeM_,RT @Cleobatta: #حازمون نصبوا الخيم في صلاح سالم! والجيش والشعب ايد واحدة وحاجات كده!!! #مصر #ما_علينا #ابو_اسماعيل #EgyPresident #EgyPresidency,16/04/2012 22:17
abolala_w_lo2a,مشممكن شوية المخابيل بتوع حازمون الي بيروحو يعتصمو ككارت ارهاب! زي ميكون ولي من الاولية! كذاب و اتقفش!\nبسسسس!\n#مصر #ابو_اسماعيل,16/04/2012 22:15
elabd12,الكذب مالوش رجلين ... ولا ايدين #ابو_اسماعيل,16/04/2012 22:12
abdolotfy88,وسط كل اللبش والكلام والخوازيق والوثائق المتنطورة دي أنا رأيي ان ابو اسماعيل يقسم ان امه مش امريكية واعتقد ان الناس حتصدقه #ابو_اسماعيل #مصر,16/04/2012 22:10
Asmaa_Abdelaal,الي فعلا ماضيقني ازاي اولاد #ابو_اسماعيل مش زعلانين ان خلي سيرة امه علي كل لسان مع التشكيك في هويتها؟ بلا انتخابات بلا قرف. ملعون السلطة,16/04/2012 22:10
Rana_elshrer,طلب إصدار جواز سفر أمريكي وحسب القانون الأمريكي يقتصر إصدار جواز السفر الأمريكي لحاملي الجنسية http://t.co/2MQ0PikX #ابو_اسماعيل,16/04/2012 22:04
mahmoudfadel,#حازمون نصبوا الخيم في صلاح سالم! والجيش والشعب ايد واحدة وحاجات كده!!! #مصر #ما_علينا #ابو_اسماعيل #EgyPresident #EgyPresidency,16/04/2012 22:03
manalammar6,ييابخت ابو اسماعيل باللى بيدافعوا عنه ...لو دافعوا عن الثوره كان زمانه ريس ومتريس من زماااااان #ابو_اسماعيل #حازمون #رئيس_مصر,16/04/2012 22:02
Ahmed_R_ARahman,هو ايمن نور لو كان لسة فى السباق و لم يتم استبعاده .. كان برضه هيحشر نفسه فى موضوع جنسية ام #ابو_اسماعيل كدا ؟,16/04/2012 22:01
forti711,آحا بجد\nهو وصلت لدرجة ان الكلاب ولاد #ابو_اسماعيل يشبهوه بالرسول؟؟\n\nالناس دي إيه؟ بتآكل بيبي\n\n#egypt #Egypresident,16/04/2012 22:01
Ziadragab,#ابو_اسماعيل المستندات مش عليها الختم و أمضت اتنين موظفين #الختم_في_الدرج,16/04/2012 22:00
Ell1988,قناة دلوقتي كانت جايبة فيلم عسل اسود فيه احمد حلمي معاه الجنسية الامريكية ..افتكرت الشيخ #حازم #ابو_اسماعيل مش عارفه ليه؟! :)),16/04/2012 21:59
