,from_user,text,created_at
2182,amiiraahmeed,لم حد فى عقليه ابو اسماعيل وعايز يحارب ويلتف على القانون وبيدعى ان كل حاجه مزوره  مش ده القضاء اللى قلته عليه شريف  دوق من نفس الكاس,17/04/2012 19:41
2183,MrEslam,لم عيالك بقى بديك امك خلينا نعرف نعمل مليونيه نضيفه ابو اسماعيل,17/04/2012 19:41
2184,Mahamadamn,زبي عليك يا بوسمعايل  ابو اسماعيل,17/04/2012 19:41
2185,mar3e,ابو اسماعيل منذ متى ونحن نعبا بالدماءحازم بيستخدم الناس زى اللامواخذه البنات اللى مش كويسهوفى الاخر يقولهم اعتصموا ويروح عشان ميتضربش,17/04/2012 19:41
2186,AhmedAdhamOrban,هى دى ديك ام اللحظه الفارقه وللا هتيجى امتى  ابو اسماعيل,17/04/2012 19:40
2187,ArabyEgy,كس امك يا مورينيو  و بالمره كس امك يا ابو اسماعيل  و بالمره كس امك يا مشير,17/04/2012 19:41
2188,nadaaaly,ولا اعرف امه امريكيه من خالته اوكرانيهولايهمنيهو ليس الاكفا  و مش شفاف لانجري ابو اسماعيل والتيار ده بيشرب من كاس نعم واولويات المظهر,17/04/2012 19:42
2189,iRana__,التويته رقم ميتين عندك يا  ابو اسماعيل  ,17/04/2012 19:42
2190,oufa100,حتي لو انصار ابو اسماعيل غلطانين حق الاعتصام والتظاهر مكفول للجميع,17/04/2012 19:42
2191,loulaoula,مبروك لمصرمش هنحيا خرافا  ابو اسماعيل ولا هيحيو لوحدهم الشاطر ولا مش هنحيا عمر سليمان فاضل نحيا على حنب ابو الفتوح اونحيا بالعافيه موسى,17/04/2012 19:43
2192,AhmedMedhatWafa,ثم قالت الصناديق نعم للدين  تقصده دين ام ابو اسماعيل ابو اسماعيل,17/04/2012 19:45
2193,Ahmed_Hussein92,عاجل انصار ابو اسماعيل يبايعون الامام بن نوال بيعه شرعيه في حضور اهل العقد و العقد حسان و الشحات في دار التحرير تكبير ابو اسماعيل لول,17/04/2012 19:45
2194,sxvip,هناك البعض من تيار التكفير والهجره يويد الشيخ الصادق حازم وهولاء الخوف منهم ويجب ان يخرج الشيخ الان ليحتويهم وربنا يستر حقيقه ابو اسماعيل,17/04/2012 19:45
2195,karimghonam,الصوره دي لانصـار ابو اسماعيل اللي لسه مش مصدقين ,17/04/2012 19:44
2196,CaptainHaitham,الست دى امى امريكيه طول عمرها ابو اسماعيل,17/04/2012 19:44
2197,elkelany92,كسم بدلك يابو اسماعيل ابو اسماعيل,17/04/2012 19:46
2198,M_Badr89,قولوا نعم لتطبقوا الشريعه ولتحافظوا ع المداه التانيه من الدستور  ونلاقي ان اللي قالهم قولوا نعم كذاب ابو اسماعيل,17/04/2012 19:45
2199,MohKhodi,سيتذكر التاريخ   الاخون السلفيين ابو اسماعيل,17/04/2012 19:45
2200,mkhallaf,انصار ابو اسماعيل عاملين حاجز بشري امام قوات الشرطه العسكريه لمنع اي اشتباكات ويهتفون ارجع لاي شخص يقطع الطريق والوضع منظم جدا لحد الآن,17/04/2012 19:47
2201,emyy_80,ناشيونال جيوجرافيك صوت القطيع يجعل اللبوه تقترب اكثر  حازمون ابو اسماعيل,17/04/2012 19:47
2202,mfathypress,الاخوان قرروا يمشوا علي الاستبن اربع سنين وكده الجماعه ممكن تتقلب اخوان    ابو اسماعيل  ,17/04/2012 19:47
2203,mnlasheen,التبرير المفتعل لتاجيل الانتخابات مش ان ابو اسماعيل متواطئ مع المجلس الفكره في تعنت الجهاتين من اول الازمه   ,17/04/2012 19:47
